
==============================================================================
PostgreSQL VCF Performance Experiment - Comprehensive Report
==============================================================================
Generated: 2025-06-10 22:57:48
VCF File: test_100k.vcf

=== SYSTEM ENVIRONMENT ===
CPU Count: 128
Total Memory: 503.7 GB
Python Version: 3.10.12
Platform: linux

=== FILE ANALYSIS ===
File Size: 299.96 MB
Total Lines: 103,417
Header Lines: 3,417
Variant Lines: 100,000

=== DATA LOADING PERFORMANCE ===
Schema Creation Time: 0.27 seconds
Data Loading Time: 5388.03 seconds
Sample Insert Time: 0.05 seconds
Genotype Insert Time: 5278.05 seconds

=== DATA LOADED ===
Variants Loaded: 100,000
Genotypes Loaded: 10,800,000
Samples: 108
Loading Rate: 19 variants/second

Chromosome Distribution:
  chr1: 9,188 variants
  chr10: 4,070 variants
  chr10_GL383545v1_alt: 2 variants
  chr10_KI270824v1_alt: 1 variants
  chr10_KI270825v1_alt: 1 variants
  chr11: 5,681 variants
  chr11_JH159136v1_alt: 2 variants
  chr11_JH159137v1_alt: 1 variants
  chr11_KI270721v1_random: 2 variants
  chr11_KI270829v1_alt: 4 variants
  chr11_KI270830v1_alt: 9 variants
  chr11_KI270831v1_alt: 8 variants
  chr11_KI270832v1_alt: 20 variants
  chr11_KI270902v1_alt: 16 variants
  chr11_KI270903v1_alt: 4 variants
  chr11_KI270927v1_alt: 21 variants
  chr12: 4,945 variants
  chr12_GL383553v2_alt: 2 variants
  chr12_GL877875v1_alt: 4 variants
  chr12_GL877876v1_alt: 9 variants
  chr12_KI270837v1_alt: 2 variants
  chr12_KI270904v1_alt: 9 variants
  chr13: 1,740 variants
  chr13_KI270839v1_alt: 1 variants
  chr13_KI270840v1_alt: 1 variants
  chr14: 3,030 variants
  chr14_GL000009v2_random: 3 variants
  chr14_GL000194v1_random: 17 variants
  chr14_GL000225v1_random: 23 variants
  chr14_KI270723v1_random: 4 variants
  chr14_KI270724v1_random: 1 variants
  chr14_KI270845v1_alt: 3 variants
  chr14_KI270847v1_alt: 12 variants
  chr15: 3,624 variants
  chr15_GL383555v2_alt: 3 variants
  chr15_KI270727v1_random: 6 variants
  chr15_KI270848v1_alt: 4 variants
  chr15_KI270849v1_alt: 1 variants
  chr15_KI270850v1_alt: 5 variants
  chr15_KI270851v1_alt: 2 variants
  chr15_KI270852v1_alt: 1 variants
  chr15_KI270905v1_alt: 26 variants
  chr16: 4,797 variants
  chr16_GL383556v1_alt: 4 variants
  chr16_KI270728v1_random: 26 variants
  chr16_KI270853v1_alt: 13 variants
  chr16_KI270854v1_alt: 4 variants
  chr16_KI270855v1_alt: 3 variants
  chr17: 5,805 variants
  chr17_GL000205v2_random: 16 variants
  chr17_GL000258v2_alt: 6 variants
  chr17_GL383563v3_alt: 5 variants
  chr17_GL383564v2_alt: 6 variants
  chr17_JH159146v1_alt: 13 variants
  chr17_JH159147v1_alt: 4 variants
  chr17_JH159148v1_alt: 6 variants
  chr17_KI270857v1_alt: 20 variants
  chr17_KI270860v1_alt: 4 variants
  chr17_KI270861v1_alt: 8 variants
  chr17_KI270862v1_alt: 5 variants
