
==============================================================================
PostgreSQL VCF Performance Experiment - Comprehensive Report
==============================================================================
Generated: 2025-06-10 20:24:47
VCF File: test_10k.vcf

=== SYSTEM ENVIRONMENT ===
CPU Count: 128
Total Memory: 503.7 GB
Python Version: 3.10.12
Platform: linux

=== FILE ANALYSIS ===
File Size: 30.16 MB
Total Lines: 13,417
Header Lines: 3,417
Variant Lines: 10,000

=== DATA LOADING PERFORMANCE ===
Schema Creation Time: 0.13 seconds
Data Loading Time: 543.47 seconds
Sample Insert Time: 0.04 seconds
Genotype Insert Time: 533.00 seconds

=== DATA LOADED ===
Variants Loaded: 10,000
Genotypes Loaded: 1,080,000
Samples: 108
Loading Rate: 18 variants/second

Chromosome Distribution:
  chr1: 930 variants
  chr10: 384 variants
  chr10_GL383546v1_alt: 1 variants
  chr11: 567 variants
  chr11_KI270831v1_alt: 3 variants
  chr11_KI270832v1_alt: 2 variants
  chr11_KI270902v1_alt: 5 variants
  chr11_KI270903v1_alt: 1 variants
  chr11_KI270927v1_alt: 2 variants
  chr12: 497 variants
  chr12_GL877875v1_alt: 1 variants
  chr13: 173 variants
  chr14: 326 variants
  chr14_GL000009v2_random: 1 variants
  chr14_GL000194v1_random: 1 variants
  chr14_KI270847v1_alt: 1 variants
  chr15: 350 variants
  chr15_KI270849v1_alt: 1 variants
  chr15_KI270905v1_alt: 1 variants
  chr16: 503 variants
  chr16_KI270728v1_random: 9 variants
  chr16_KI270854v1_alt: 1 variants
  chr16_KI270855v1_alt: 1 variants
  chr17: 572 variants
  chr17_GL000205v2_random: 2 variants
  chr17_GL000258v2_alt: 2 variants
  chr17_GL383564v2_alt: 1 variants
  chr17_JH159147v1_alt: 1 variants
  chr17_KI270857v1_alt: 1 variants
  chr17_KI270861v1_alt: 1 variants
  chr17_KI270862v1_alt: 1 variants
  chr18: 162 variants
  chr19: 691 variants
  chr19_GL000209v2_alt: 5 variants
  chr19_GL949746v1_alt: 7 variants
  chr19_GL949747v2_alt: 2 variants
  chr19_GL949748v2_alt: 5 variants
  chr19_GL949749v2_alt: 2 variants
  chr19_GL949750v2_alt: 1 variants
  chr19_GL949751v2_alt: 2 variants
  chr19_GL949752v1_alt: 6 variants
  chr19_GL949753v2_alt: 2 variants
  chr19_KI270865v1_alt: 1 variants
  chr19_KI270867v1_alt: 1 variants
  chr19_KI270883v1_alt: 5 variants
  chr19_KI270885v1_alt: 1 variants
  chr19_KI270886v1_alt: 2 variants
  chr19_KI270887v1_alt: 1 variants
  chr19_KI270888v1_alt: 1 variants
  chr19_KI270889v1_alt: 1 variants
  chr19_KI270890v1_alt: 1 variants
  chr19_KI270891v1_alt: 1 variants
  chr19_KI270914v1_alt: 2 variants
